"TLS company"
"Suraterfretgf


"
"Contact No : 9874563210"
"Email :trueline@gmail.com"
"sr.no","Customer Name","Applicant Name","Service Type","Total Amount","Actual Amount","Profit Amount","Total GST(18)%","Total GST(18)%","Total GST(18)%","Embassy Fees"
"1","Miss.1/1dhruvi/Non-GST","Mr.xyz","Attestation","20000","14000","6000","3600","2520","1080","0"
"2","Miss.2/3dhruvi/GST","Mr.xyz","Visa","20000","19000","1000","3600","3420","180","0"
"3","Miss.2/18/dhruvi/Non-GST","Mr.xyz","Apostille","100000","98000","2000","18000","17640","360","0"
"4","Mrs.//1grisha5","Mrs.abcdy5y","Attestation","10000","7000","3000","1800","1260","540","0"
"5","Miss.dhruvi","Mr.xyz","Attestation","20000","14000","6000","3600","2520","1080","0"
"5","Miss.dhruvi","Mrs.xyz","Attestation","50000","35000","15000","9000","6300","2700","0"
"6","Miss.Salman","Mrs.abcxyzwsd","Visa","32000","29900","2100","5760","5382","378","900"
"7","Mr.xyz","Mr.zxcv","Visa","0","0","0","0","0","0","0"
"7","Mr.xyz","Mrs.bnmz","Visa","0","0","0","0","0","0","0"
"8","Miss.Salman","Miss.xyz","Attestation","10000","7000","3000","1800","1260","540","0"
"9","Miss.Dhruvi","Mrs.xyz","Translation","40000","36000","4000","7200","6480","720","200"
"10","Miss.Dhruvi","Mrs.xyz","Translation","40000","36000","4000","7200","6480","720","200"
"11","Miss.Dhruvi","Mr.xyzghgfhfgh","Translation","20000","18000","2000","3600","3240","360","200"
"12","Miss.fdgdfgfdgfdgfgdfgdgDhruvi","Mr.abc","Translation","60000","54000","6000","10800","9720","1080","200"
"13","Miss.dfgdfgdfgdDhruvi","Mr.xyzghfghfhg","Translation","40000","36000","4000","7200","6480","720","1000"
"13","Miss.dfgdfgdfgdDhruvi","Mr.xyz","Translation","100000","90000","10000","18000","16200","1800","1000"
"14","Miss.1111Dhruvi","Mr.xyz","Translation","40000","36000","4000","7200","6480","720","400"
"","","","Total","602000","529900","72100","108360","95382","12978","4100"
